step,clean_raw_pct,clean_ma5_pct,clean_ma10_pct,clean_ma20_pct,old_raw_pct,old_ma5_pct,old_ma10_pct,old_ma20_pct,pure02_raw_pct,pure02_ma5_pct,pure02_ma10_pct,pure02_ma20_pct,pure03_raw_pct,pure03_ma5_pct,pure03_ma10_pct,pure03_ma20_pct,pure04_raw_pct,pure04_ma5_pct,pure04_ma10_pct,pure04_ma20_pct,pure05_raw_pct,pure05_ma5_pct,pure05_ma10_pct,pure05_ma20_pct
107,25.0,22.5,16.25,12.5,25.0,20.0,15.0,10.0,12.5,12.5,15.0,13.75,12.5,15.0,13.75,10.625,12.5,10.0,12.5,12.5,12.5,5.0,11.25,11.875
108,0.0,17.5,16.25,12.5,0.0,20.0,13.75,10.0,0.0,10.0,12.5,13.75,12.5,12.5,12.5,11.25,12.5,10.0,13.75,13.125,12.5,7.5,8.75,12.5
109,0.0,15.0,16.25,11.875,0.0,15.0,13.75,10.0,25.0,10.0,12.5,14.375,12.5,10.0,11.25,11.25,0.0,7.5,10.0,13.125,12.5,7.5,10.0,11.875
110,25.0,15.0,18.75,13.125,12.5,10.0,13.75,10.625,0.0,7.5,11.25,13.125,0.0,7.5,11.25,11.25,37.5,12.5,13.75,13.125,12.5,10.0,11.25,11.875
111,50.0,20.0,22.5,15.0,62.5,20.0,18.75,13.75,37.5,15.0,12.5,15.0,50.0,17.5,16.25,13.125,37.5,20.0,15.0,13.75,50.0,20.0,12.5,14.375
112,25.0,20.0,21.25,15.0,12.5,17.5,18.75,13.125,25.0,17.5,15.0,15.625,25.0,20.0,17.5,14.375,0.0,17.5,13.75,13.125,50.0,27.5,16.25,15.625
113,12.5,22.5,20.0,15.625,25.0,22.5,21.25,14.375,25.0,22.5,16.25,16.25,0.0,17.5,15.0,13.75,12.5,17.5,13.75,13.75,12.5,27.5,17.5,15.625
114,12.5,25.0,20.0,15.625,0.0,22.5,18.75,13.75,0.0,17.5,13.75,14.375,0.0,15.0,12.5,13.125,0.0,17.5,12.5,12.5,0.0,25.0,16.25,15.0
115,50.0,30.0,22.5,18.125,12.5,22.5,16.25,13.75,0.0,17.5,12.5,14.375,25.0,20.0,13.75,13.75,12.5,12.5,12.5,13.125,0.0,22.5,16.25,14.375
116,25.0,25.0,22.5,18.125,25.0,15.0,17.5,15.0,25.0,15.0,15.0,15.0,12.5,12.5,15.0,14.375,25.0,10.0,15.0,13.125,12.5,15.0,17.5,13.75
117,12.5,22.5,21.25,18.75,0.0,12.5,15.0,15.0,37.5,17.5,17.5,16.25,12.5,10.0,15.0,14.375,12.5,12.5,15.0,13.75,37.5,12.5,20.0,15.625
118,25.0,25.0,23.75,20.0,12.5,10.0,16.25,15.0,12.5,15.0,18.75,15.625,37.5,17.5,17.5,15.0,25.0,15.0,16.25,15.0,25.0,15.0,21.25,15.0
119,25.0,27.5,26.25,21.25,25.0,15.0,18.75,16.25,0.0,15.0,16.25,14.375,37.5,25.0,20.0,15.625,37.5,22.5,20.0,15.0,12.5,17.5,21.25,15.625
120,12.5,20.0,25.0,21.875,25.0,17.5,20.0,16.875,0.0,15.0,16.25,13.75,0.0,20.0,20.0,15.625,0.0,20.0,16.25,15.0,0.0,17.5,20.0,15.625
121,25.0,20.0,22.5,22.5,12.5,15.0,15.0,16.875,25.0,15.0,15.0,13.75,25.0,22.5,17.5,16.875,12.5,17.5,13.75,14.375,25.0,20.0,17.5,15.0
122,25.0,22.5,22.5,21.875,0.0,15.0,13.75,16.25,12.5,10.0,13.75,14.375,12.5,22.5,16.25,16.875,0.0,15.0,13.75,13.75,0.0,12.5,12.5,14.375
123,25.0,22.5,23.75,21.875,62.5,25.0,17.5,19.375,12.5,10.0,12.5,14.375,12.5,17.5,17.5,16.25,37.5,17.5,16.25,15.0,25.0,12.5,13.75,15.625
124,25.0,22.5,25.0,22.5,12.5,22.5,18.75,18.75,25.0,15.0,15.0,14.375,25.0,15.0,20.0,16.25,25.0,15.0,18.75,15.625,12.5,12.5,15.0,15.625
