unix_time,cgroup_current_bytes,cgroup_high_bytes,cgroup_max_bytes,event_high,event_max,event_oom,event_oom_kill,anon_bytes,file_bytes,shmem_bytes,inactive_file_bytes,active_file_bytes,slab_reclaimable_bytes,pgscan,pgsteal,refault_file,psi_some_avg10,psi_full_avg10,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787574580,56239775744,253403070464,257698037760,0,0,0,0,45264793600,10281033728,296697856,1055395840,8932880384,65742648,0,0,7842,0.00,0.00,15635,0,15718,0,24699620,1432,1388,1522340,2941904,29166684,8
1787574582,56239845376,253403070464,257698037760,0,0,0,0,45263941632,10281033728,296697856,1055440896,8932880384,65739888,0,0,7842,0.00,0.00,15635,0,15718,0,24699584,1376,1376,1522360,2941164,29165860,8
1787574585,56239546368,253403070464,257698037760,0,0,0,0,45267189760,10281033728,296697856,1055461376,8932880384,65738632,0,0,7842,0.00,0.00,16093,0,16176,0,24699596,1340,1344,1522340,2941028,29165648,8
1787574587,56840826880,253403070464,257698037760,0,0,0,0,45894356992,10281033728,296697856,1055522816,8932880384,65732272,0,0,7842,0.00,0.00,16187,0,16270,4,25385140,1368,1448,1522360,2941796,29852112,8
1787574589,56241139712,253403070464,257698037760,0,0,0,0,45264945152,10281037824,296697856,1055539200,8932880384,65730104,0,0,7842,0.00,0.00,16645,6,16526,3,24699604,1360,1372,1522324,2941956,29166616,8
1787574591,56238800896,253403070464,257698037760,0,0,0,0,45264650240,10281041920,296697856,1055547392,8932880384,65733264,0,0,7842,0.00,0.00,16997,93,16984,7,24699696,1444,1428,1522348,2942008,29166924,8
1787574594,56374812672,253403070464,257698037760,0,0,0,0,45400350720,10281041920,296697856,1055547392,8932880384,65729512,0,0,7842,0.00,0.00,16997,0,17080,0,24842968,1348,1448,1522344,2941616,29309724,8
1787574596,56819015680,253403070464,257698037760,0,0,0,0,45842796544,10281041920,296697856,1055555584,8932880384,65725224,0,0,7842,0.00,0.00,17711,2,17794,2,25181588,1448,1376,1522292,2941956,29648660,8
1787574598,57236975616,253403070464,257698037760,0,0,0,0,46277697536,10281041920,296697856,1055555584,8932880384,65723720,0,0,7842,0.00,0.00,17805,0,17888,0,25994056,1340,1324,1522352,2941064,30460136,8
1787574601,57718038528,253403070464,257698037760,0,0,0,0,46762262528,10281041920,296697856,1055555584,8932880384,65723432,0,0,7842,0.00,0.00,18263,0,17888,0,26279612,1448,1348,1522392,2942160,30746960,8
1787574603,58085744640,253403070464,257698037760,0,0,0,0,47106215936,10281041920,296697856,1055563776,8932880384,65722704,0,0,7842,0.00,0.00,18871,82,18602,0,26528504,1328,1384,1522308,2941780,30995304,8
1787574605,58220253184,253403070464,257698037760,0,0,0,0,47241154560,10281041920,296697856,1055563776,8932880384,65733104,0,0,7842,0.00,0.00,19519,0,19602,23,26630572,1392,1344,1522360,2941488,31097156,8
