selection,success,query_idx,action_slot_start,trajectory_id,reward_sum,done,log10_v_l3_c10_mean,log10_v_l3_h10_49_mean,v_l3_c10_peak_h,w_s0p5_min,w_s0p5_max,w_s2p0_min,w_s2p0_max,executed_reference_mse
failure_high,0,7,70,56354,0.0,0,-1.9564489126205444,-1.4687451124191284,9,0.27081096172332764,1.6200358867645264,0.0,2.4771270751953125,0.01061724592000246
failure_high,0,8,80,56355,0.0,0,-1.761923909187317,-1.3007965087890625,7,0.29497385025024414,1.3721592426300049,0.0,1.8559281826019287,0.011607861146330833
failure_high,0,9,90,56356,0.0,0,-1.6520862579345703,-0.933055579662323,9,0.41267281770706177,1.1692759990692139,0.0,1.4123547077178955,0.01372175570577383
failure_high,0,10,100,56357,0.0,0,-1.5907831192016602,-1.468875765800476,8,0.04303920269012451,1.2995483875274658,0.0,1.5872819423675537,0.014744285494089127
failure_high,0,11,110,56358,0.0,0,-1.9512118101119995,-1.79401695728302,5,0.49409162998199463,1.4248034954071045,0.0,2.379748582839966,0.023016152903437614
failure_high,0,12,120,56359,0.0,0,-1.3758455514907837,-1.205775260925293,9,0.0,1.1511485576629639,0.0,1.2336955070495605,0.01060858927667141
failure_high,0,13,130,56360,0.0,0,-2.105212688446045,-1.9339323043823242,9,0.6061974763870239,1.4481319189071655,0.0,2.5677013397216797,0.018936431035399437
failure_high,0,14,140,56361,0.0,0,-1.79201078414917,-0.9348950386047363,5,0.25292572379112244,1.4359108209609985,0.0,2.0100653171539307,0.010882471688091755
failure_high,0,15,150,56362,0.0,0,-1.0594819784164429,-1.3378974199295044,8,0.0,1.131374716758728,0.0,1.1723111867904663,0.009316839277744293
failure_high,0,16,160,56363,0.0,0,-2.118664264678955,-1.919050693511963,9,0.446333110332489,1.2977299690246582,0.0,1.9492824077606201,0.018164359033107758
failure_high,0,17,170,56364,0.0,0,-2.1719932556152344,-1.7176294326782227,7,0.6365277767181396,1.780932068824768,0.0,3.944683313369751,0.007599082309752703
failure_high,0,18,180,56365,0.0,0,-2.089853286743164,-0.7856922149658203,8,0.6403262615203857,1.5629578828811646,0.0,2.9257800579071045,0.007495079655200243
failure_high,0,19,190,56366,0.0,1,-2.014815330505371,-1.188706398010254,9,0.5145555734634399,1.8538179397583008,0.0,3.688607931137085,0.00825408659875393
